GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
n-orm console,com.googlecode.n_orm.console.util,PackageExplorer.DotClassFilter,0,7,0,0,0,2,0,2,0,2
n-orm console,com.googlecode.n_orm.console.util,PackageExplorer,92,278,12,24,19,47,10,16,2,6
n-orm console,com.googlecode.n_orm.console.shell,Shell,122,415,15,37,15,95,11,36,0,21
n-orm console,com.googlecode.n_orm.console.shell,ShellProcessor.ContextElement,0,12,0,0,0,5,0,1,0,1
n-orm console,com.googlecode.n_orm.console.shell,ShellProcessor,81,1509,22,114,16,271,22,73,0,27
n-orm console,com.googlecode.n_orm.console,Launcher,44,0,4,0,10,0,4,0,2,0
